수준	날짜 및 시간	원본	이벤트 ID	작업 범주
정보	2018-02-25 오후 9:32:35	BTHUSB	18	없음	Bluetooth 인증 코드(연결 키)를 로컬 어댑터에 저장할 수 없습니다. 시작 시 Bluetooth 키보드가 시스템 BIOS에서 작동하지 않을 수 있습니다.
정보	2018-02-25 오후 9:32:35	MEIx64	2	없음	Intel(R) Management Engine Interface driver has started successfully.
정보	2018-02-25 오후 9:32:34	Microsoft-Windows-Kernel-General	1	(5)	"시스템 시간이 ‎2018‎-‎02‎-‎25T12:07:27.492157300Z에서 ‎2018‎-‎02‎-‎25T12:32:34.500000000Z(으)로 변경되었습니다.

변경 이유: System time synchronized with the hardware clock."
정보	2018-02-25 오후 9:07:27	Microsoft-Windows-Kernel-Power	107	(102)	시스템이 절전 모드에서 다시 시작되었습니다.
정보	2018-02-25 오후 9:07:26	Microsoft-Windows-Kernel-Power	42	(64)	"시스템이 절전 모드로 전환하는 중입니다.

절전 모드 전환 이유: Button or Lid"
경고	2018-02-25 오후 8:13:33	Microsoft-Windows-DNS-Client	1014	(1014)	구성된 DNS 서버 중 응답하는 서버가 없어 wpad 이름을 확인하는 동안 시간이 초과되었습니다.
경고	2018-02-25 오후 8:13:26	Microsoft-Windows-DNS-Client	1014	(1014)	구성된 DNS 서버 중 응답하는 서버가 없어 wpad 이름을 확인하는 동안 시간이 초과되었습니다.
정보	2018-02-25 오후 8:13:12	Microsoft-Windows-Power-Troubleshooter	1	없음	"시스템이 저전원 상태에서 복귀되었습니다.

절전 모드 시간: ‎2018‎-‎02‎-‎25T09:12:32.941222500Z
절전 모드 해제 시간: ‎2018‎-‎02‎-‎25T11:13:10.935270700Z

절전 모드 해제 원본: 장치 -Intel(R) USB 3.0 확장 가능한 호스트 컨트롤러 - 1.0(Microsoft)"
경고	2018-02-25 오후 8:13:10	BTHUSB	34	없음	로컬 어댑터가 주변 장치 모드를 지원하는 데 중요한 저에너지 컨트롤러 상태를 지원하지 않습니다. 지원되는 최소 필수 상태 마스크는 0x491f7fffff인데 0x1fffffff을(를) 받았습니다. 저에너지 주변 장치 역할 기능을 사용할 수 없습니다.
정보	2018-02-25 오후 8:13:10	BTHUSB	18	없음	Bluetooth 인증 코드(연결 키)를 로컬 어댑터에 저장할 수 없습니다. 시작 시 Bluetooth 키보드가 시스템 BIOS에서 작동하지 않을 수 있습니다.
정보	2018-02-25 오후 8:13:10	MEIx64	2	없음	Intel(R) Management Engine Interface driver has started successfully.
정보	2018-02-25 오후 8:13:09	Microsoft-Windows-Kernel-General	1	(5)	"시스템 시간이 ‎2018‎-‎02‎-‎25T09:12:36.577557300Z에서 ‎2018‎-‎02‎-‎25T11:13:09.500000000Z(으)로 변경되었습니다.

변경 이유: System time synchronized with the hardware clock."
정보	2018-02-25 오후 6:12:36	Microsoft-Windows-Kernel-Power	107	(102)	시스템이 절전 모드에서 다시 시작되었습니다.
정보	2018-02-25 오후 6:12:35	Microsoft-Windows-Kernel-Power	42	(64)	"시스템이 절전 모드로 전환하는 중입니다.

절전 모드 전환 이유: Button or Lid"
정보	2018-02-25 오후 4:52:06	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\windows.printdialog_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\windows.miracastview_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.zunevideo_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.xboxspeechtotextoverlay_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.xboxidentityprovider_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.xboxgameoverlay_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.xboxgamecallableui_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.xboxapp_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 3개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.xbox.tcui_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windowssoundrecorder_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windowsphone_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:05	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windowsmaps_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 4개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windowsfeedbackhub_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windowscamera_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windowsalarms_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.secondarytileexperience_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.sechealthui_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.pinningconfirmationdialog_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.peopleexperiencehost_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.parentalcontrols_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:04	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.oobenetworkconnectionflow_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.oobenetworkcaptiveportal_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.holographicfirstrun_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.cloudexperiencehost_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.windows.apprep.chxapp_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.wallet_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.print3d_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.ppiprojection_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.people_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.oneconnect_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:03	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.office.sway_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.office.onenote_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.mspaint_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.microsoftsolitairecollection_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.microsoft3dviewer_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.getstarted_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.gethelp_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.ecapp_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.desktopappinstaller_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.creddialoghost_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:02	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.connectivitystore_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.commsphone_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.bioenrollment_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.bingweather_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.bingsports_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 3개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.bingfinance_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.appconnector_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.accountscontrol_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\microsoft.3dbuilder_8wekyb3d8bbwe\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:01	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\keepersecurityinc.keeper_kejf07qmg0jnm\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:00	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\inputapp_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:00	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\f46d4000-fd22-4db4-ac8e-4e1ddde828fe_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:00	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\e2a4f912-2574-4a75-9bb0-0d023378592b_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:00	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\c5e2524a-ea46-4f67-841f-6a9465d9d515_cw5n1h2txyewy\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:00	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\89006a2e.autodesksketchbook_tf1gferkr813w\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
정보	2018-02-25 오후 4:52:00	Microsoft-Windows-Kernel-General	16	없음	\??\C:\Users\noble\AppData\Local\Packages\613ebcea.polarrphotoeditoracademicedition_jb41c8remg0x2\Settings\settings.dat 하이브의 액세스 기록이 삭제되어 키 2개가 업데이트되고 수정된 페이지 1개가 만들어졌습니다.
